"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","X4","poly","weight","prediction","model","piotweight"
-1100,2222.95167286245,-1100,"-1100–-1000","商",-1600,-1046,611.422397769517,1484.00185873606,25.1454460966543,102.381970260223,1611.52927509294,3.92782035943527,12249.9374792937,0,1
-1000,2239.17224287485,-1000,"-1000–-900","战国燕",-1030,-223,612.116325898389,1496.8395291202,26.3598203221809,103.856567534077,1627.05591697646,3.89936721772674,14874.9454457191,2625.00796642541,1.17231176600117
-900,6676.17224287485,-900,"-900–-800","战国燕",-1030,-223,2577.11632589839,3713.8395291202,63.3598203221809,321.856567534077,4099.05591697646,1.30783846208108,18024.2084446318,3149.26299891267,0.471716858754464
-800,3772.77224287478,-800,"-800–-700","战国燕",-1030,-223,806.516325898392,2804.83952912014,37.5598203221809,123.856567534077,2966.2559169764,2.31430743141195,21784.8725859882,3760.66414135639,0.996790661948583
-700,4612.82224287434,-700,"-700–-600","战国燕",-1030,-223,558.716325898393,3935.58952911978,38.1598203221809,80.3565675340769,4054.10591697604,1.8928444190967,26250.7406058608,4465.86801987262,0.968142231531093
-600,848.422242874849,-600,"-600–-500","战国燕",-1030,-223,82.1163258983891,694.589529120202,13.3598203221809,58.3565675340769,766.305916976459,10.2912846899486,31519.1764711115,5268.43586525065,6.20968616687693
-500,8958.37041266001,-500,"-500–-400","战国燕",-1030,-223,935.742564150865,7275.71513237136,173.001863050711,573.910853087092,8022.62784850917,0.974658831518134,37686.2484915304,6167.07202041892,0.688414492406296
-400,20038.7147972448,-400,"-400–-300","战国燕",-1030,-223,1749.50930151303,16803.6829131024,374.230282640677,1111.29229998828,18289.2054957314,0.435724293052482,44839.8410099959,7153.59251846555,0.356988588881414
-300,9918.34368689764,-300,"-300–-200","战国燕",-1030,-223,722.636125853974,8524.20291967187,153.597954488377,517.90668688135,9195.70756104159,0.880323884142485,53050.6953407726,8210.85433077669,0.827845312682945
-200,6691.25645200678,-200,"-200–-100","汉代",-206,220,329.195174902982,5962.6944014762,121.496539933241,277.87033569432,6362.06127710377,1.30489018039223,62361.7418574457,9311.04651667304,1.39152438461398
-100,14048.1498367215,-100,"-100–0","汉代",-206,220,593.301147928031,12147.603200449,532.41561507775,774.829873266575,13454.8486887934,0.621530588738904,72776.6502299715,10414.9083725259,0.74137224428669
