"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","X4","poly","weight","prediction","model","piotweight"
-1100,1828.42518587361,-1100,"-1100–-1000","商",-1600,-1046,405.432620817844,1299.01579925651,22.8954460966543,101.081319702602,1422.99256505576,5.83640525907959,7346.71911539362,0,1
-1000,1848.37561957869,-1000,"-1000–-900","战国燕",-1030,-223,406.73373605948,1314.80266418835,24.1098203221809,102.729399008674,1441.64188351921,5.76090455283443,8970.6400197601,1623.92090436649,1.1264384885949
-900,3879.37561957869,-900,"-900–-800","战国燕",-1030,-223,797.733736059479,2712.80266418835,53.1098203221809,315.729399008674,3081.64188351921,2.69504426673945,10938.5290442236,1967.88902446351,0.638584591865748
-800,2529.17561957867,-800,"-800–-700","战国燕",-1030,-223,458.200402726146,1923.60266418834,29.4431536555143,117.929399008674,2070.97521685253,4.01026589924375,13316.0398742036,2377.51082998001,1.14801510449428
-700,2327.57561957872,-700,"-700–-600","战国燕",-1030,-223,213.517069392813,2024.25266418838,22.5264869888476,67.2793990086741,2114.0585501859,3.9285389184667,16177.9605677898,2861.92069358618,1.35375658982317
-600,721.375619578692,-600,"-600–-500","战国燕",-1030,-223,88.9837360594796,564.052664188351,11.8598203221809,56.4793990086741,632.391883519206,13.1329346671958,19607.8749493185,3429.91438152872,5.42371663981761
-500,7714.5930581246,-500,"-500–-400","战国燕",-1030,-223,825.303875477536,6171.92023114565,157.351946306433,560.017005194997,6889.28918264708,1.20551788002191,23696.9172284033,4089.04227908481,0.59353616471557
-400,14693.7942721379,-400,"-400–-300","战国燕",-1030,-223,1470.06418523758,11859.7302634058,309.816297898707,1054.18352559512,13223.7300868996,0.628049819207237,28541.2545201895,4844.33729178613,0.366336673537014
-300,8280.42206202632,-300,"-300–-200","战国燕",-1030,-223,855.218431596867,6759.092685719,139.258100106081,526.852844604757,7425.20363042984,1.11850956602544,34237.9108764826,5696.65635629317,0.76720540470395
-200,5753.93205933818,-200,"-200–-100","汉代",-206,220,441.812613639442,4947.36189461178,105.569459144075,259.188091942793,5312.11944569865,1.56343647299714,40878.6012843177,6640.69040783506,1.25010186154835
