,count,century,centurylabel,dynasty,dynstart,dynend,X1,X2,X3,poly,weight
-1100,2469.195167286245,-1100,-1100–-1000,商,-1600,-1046,860.1082713754647,1584.3164498141264,24.770446096654275,1609.0868959107806,3.280734670500414
-1000,2487.150557620818,-1000,-1000–-900,战国燕,-1030,-223,861.2359045848823,1599.9298327137546,25.984820322180916,1625.9146530359355,3.2570501889106263
-900,4626.150557620818,-900,-900–-800,战国燕,-1030,-223,1147.2359045848823,3415.929832713755,62.984820322180916,3478.9146530359358,1.7510831289749893
-800,3858.0838909540926,-800,-800–-700,战国燕,-1030,-223,1005.2359045848827,2816.463166047038,36.38482032218093,2852.847986369219,2.09968845222408
-700,4515.217224287013,-700,-700–-600,战国燕,-1030,-223,663.235904584883,3815.146499380074,36.83482032218093,3851.981319702255,1.7941050875635842
-600,1146.1505576208226,-600,-600–-500,战国燕,-1030,-223,318.2359045848823,813.6798327137587,14.234820322180912,827.9146530359396,7.067809843729107
-500,8796.849425907363,-500,-500–-400,战国燕,-1030,-223,1106.5108036902354,7513.406330611127,176.9322916060123,7690.338622217139,0.9208722124640083
-400,18318.647378990052,-400,-400–-300,战国燕,-1030,-223,1871.6171435324275,16083.274207228715,363.75602822871747,16447.03023545743,0.442214647509344
-300,9072.461342999593,-300,-300–-200,战国燕,-1030,-223,741.0208781957639,8170.417229058873,161.02323574409562,8331.440464802969,0.8928970747060495
-200,7414.697739422699,-200,-200–-100,汉代,-206,220,359.5640858639289,6905.934950744697,149.19870281418784,7055.133653558884,1.0925292544937608
-100,12465.849312962167,-100,-100–0,汉代,-206,220,602.5178430893613,11382.258007906466,481.07346196640356,11863.33146987287,0.6498373267776271
0,7559.486090412629,0,0–100,汉代,-206,220,213.2318155828904,7153.221275291263,193.03299953866022,7346.254274829923,1.0716038228871032
100,15177.385708768921,100,100–200,东汉,25,220,1056.8352623254975,13673.154707909749,447.3957385337692,14120.550446443518,0.5337397592042306
200,11800.053647726934,200,200–300,东汉,25,220,164.32737780351016,11337.918812386612,297.80745753748806,11635.7262699241,0.6865031664587831
300,3457.92490325841,300,300–400,晋,265,420,37.54078811867952,3223.537462862003,196.8466522777704,3420.3841151397733,2.3426692077420994
400,17990.32066179293,400,400–500,北魏,386,534,225.75419809711528,17139.524798608618,625.0416650872455,17764.566463695865,0.4502851475433748
500,16522.780586792054,500,500–600,南朝齐,479,502,245.33254994124596,15708.562000118482,568.8860367322837,16277.448036850765,0.4902791119809237
600,11315.211275307467,600,600–700,隋,581,618,109.45172445369242,10453.492120869352,752.2674299844332,11205.759550853785,0.7159189516174486
700,9794.207677965613,700,700–800,唐,618,907,92.73822828044672,8682.784049518208,1018.6854001669357,9701.469449685144,0.8270984708413589
800,9759.144791015275,800,800–900,唐,618,907,97.03102452316992,8787.033667847945,875.0800986443902,9662.113766492335,0.8300700898511113
900,7051.695636333883,900,900–1000,唐,618,907,94.04252710864095,5996.593226984428,961.0598822407777,6957.653109225205,1.1487696876491367
1000,13010.65410869522,1000,1000–1100,宋,960,1279,159.3493711415692,11675.432454001164,1175.8722835524313,12851.304737553595,0.6226262050986493
1100,6867.591063530511,1100,1100–1200,宋,960,1279,65.71369090092593,5729.713393120658,1072.1639795088531,6801.877372629511,1.179565602932622
1200,6908.880764595128,1200,1200–1300,金,1115,1234,73.156453401557,5448.075306415285,1387.649004778159,6835.724311193444,1.1725161382232616
1300,8694.16882352136,1300,1300–1400,元,1234,1367,107.10687443206585,7119.117321561966,1467.944627527295,8587.06194908926,0.9317479747612071
1400,1765.0047556350999,1400,1400–1500,明,1368,1644,20.20297424532666,1445.1590708006804,299.6427105890778,1744.8017813897582,4.589661397616553
1500,5958.075532710376,1500,1500–1600,明,1368,1644,56.47846412033264,4995.3795361316215,906.2175324582244,5901.597068589846,1.3596293214267037
1600,7045.021551623752,1600,1600–1700,明,1368,1644,90.06929707525627,6124.639883885858,830.3123706626765,6954.952254548534,1.1498579719292654
1700,6355.203856864223,1700,1700–1800,清,1644,1911,65.20288892334928,5216.704737823483,1073.296230117404,6290.000967940887,1.2746678747053015
1800,5470.0517097321,1800,1800–1900,清,1644,1911,41.98057675038431,4645.126787407753,782.9443455742165,5428.07113298197,1.4809319222952642
1900,3450.683698036131,1900,1900–2000,清,1644,1911,29.93536410274229,2859.0730475124988,561.6752864208956,3420.7483339333944,2.3475852620622413
