,count,century,dynasty,dynstart,dynend,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,poly,weight
-1100,2573.15148698885,-1100,商,-1600,-1046,860.108271375465,1584.06644981413,24.7704460966543,102.081319702602,0.125,0.75,0.5,0,0.625,0,0,0,0,0,0.125,0,0,1713.04321561338,3.40036146551518
-1000,2592.75495662949,-1000,战国燕,-1030,-223,861.235904584882,1599.67983271375,25.9848203221809,103.729399008674,0.125,0.75,0.5,0,0.625,0,0,0,0,0,0.125,0,0,1731.51905204461,3.37465179226356
-900,4956.75495662949,-900,战国燕,-1030,-223,1147.23590458488,3414.67983271375,62.9848203221809,321.729399008674,1.125,0.75,2.5,0,4.625,0,1,0,0,0,0.125,0,0,3809.51905204461,1.76519622976068
-800,3984.75495662943,-800,战国燕,-1030,-223,1005.23590458488,2816.21316604704,36.3848203221809,123.462732342007,0.658333333333333,0.75,0.5,0,1.425,0,0,0,0,0,0.125,0,0,2979.51905204456,2.19577998058154
-700,4600.254956629,-700,战国燕,-1030,-223,663.235904584883,3815.14649938007,36.8348203221809,80.7460656753408,1.59166666666667,0,0.25,0,2.325,0,0,0,0,0,0.125,0,0,3937.01905204426,1.90199135564903
-600,1211.2549566295,-600,战国燕,-1030,-223,318.235904584882,813.679832713759,14.2348203221809,59.4793990086741,0.125,0,2.25,0,2.125,1,0,0,0,0,0.125,0,0,893.019052044614,7.22361969575521
-500,9406.59974820788,-500,战国燕,-1030,-223,1106.51080369024,7513.40633061113,176.932291606012,576.254933115297,7.78248031496063,6.77165354330709,4.81692913385827,0.590551181102362,12.1134994214433,0,1.29527559055118,0,0,0,0.125,0,0,8300.08894451766,0.930160248708033
-400,19474.9646019839,-400,战国燕,-1030,-223,1871.61714353243,16082.7055797777,363.756028228717,1092.76342876387,14.1683070866142,10.15167840862,13.2953791960216,1.57687525901368,23.4114809431029,1,0.393700787401575,0,0,0,0.125,0,0,17603.3474584511,0.449276563018689
-300,8865.76290079844,-300,战国燕,-1030,-223,713.020878195768,7536.98585650971,147.023235744095,448.39182102744,4.2992125984252,2.09075255511519,3.40177617716244,0.832573559883962,9.40577080916271,0,0.311023622047244,0,0,0,0,0,0,8152.74202260305,0.986902679351144
-200,7748.80338679432,-200,汉代,-206,220,359.564085863929,6905.9349507447,149.198702814188,321.068088686259,3,4.23474178403756,1.23474178403756,0,4.56807511737089,0,0,0,0,0,0,0,0,7389.23930093059,1.12916081677866
-100,13253.8258659215,-100,汉代,-206,220,602.517843089361,11384.2580079065,481.073461966404,745.272327607261,11,3.23474178403756,6.23474178403756,1,16.2347417840376,1,2,0,0,0,0,0,0,12651.3080228322,0.660159960588228
0,7881.56524797239,0,汉代,-206,220,213.23181558289,7153.22127529126,193.03299953866,318.374932207745,2,0.234741784037559,0.234741784037559,0,1.23474178403756,0,0,0,0,0,0,0,0,7668.33343238978,1.1101405477219
100,15460.5120359628,100,东汉,25,220,958.835262325482,13393.1547079098,445.395738533769,638.422101841796,10,5.23474178403756,2.23474178403756,0,7.23474178403756,0,0,0,0,0,0,0,0,14501.6767736374,0.565935018254076
200,13194.1897879165,200,东汉,25,220,192.902646620714,12031.8397801285,313.36068334394,622.816800496352,13.2258064516129,4.04694835680751,3.72436771164622,0,12.2727548084204,0,0,0,0,0,0,0,0,13001.2871412973,0.663143800561599
300,3725.7905389572,300,晋,265,420,38.2558418821204,3299.26165641056,198.777297439061,184.140904515846,1.7741935483871,1,1.93548387096774,0,0.645161290322581,0,0,0,0,0,0,0,0,3687.53469707514,2.34839964023819
400,18745.4137085565,400,北魏,386,534,224.46387551647,17002.8796373184,621.557794119504,863.996272569904,13,6,5.38709677419355,0,8.12903225806452,0,0,0,0,0,0,0,0,18520.9498330401,0.466761912931062
500,17263.2865543068,500,南朝齐,479,502,245.332549941246,15708.5620001185,568.886036732284,718.505967514391,9,0,3,0,8,0,2,0,0,0,0,0,0,17017.9540043652,0.506835424052388
600,12242.7286218231,600,隋,581,618,109.451724453692,10453.4921208694,752.267429984433,888.105331905891,15.7758554402153,9.28373702422145,3.06868512110727,0,10,0,1.28373702422145,0,0,0,0,0,0,12133.2768973694,0.714680969542475
700,10460.3952784732,700,唐,618,907,92.7382282804467,8682.78404951821,1018.68540016694,633.536498990884,21.8696728635392,2.86297982557316,6.61102455748811,0,0.96140350877193,0,0.346020761245675,0,0,0,0,0,0,10367.6570501926,0.83645454386376
800,10358.6726314285,800,唐,618,907,97.0310245231699,8787.03366784794,875.08009864439,571.994893233709,14.1200851740378,2.82906169691819,9.19918305496864,0,1.03859649122807,0,0.346020761245675,0,0,0,0,0,0,10261.6416069044,0.844668566389797
900,12774.6768671413,900,唐,618,907,237.042527108641,10441.5932269825,1252.05988224081,791.057358769831,34.6105620707971,7.0242214532872,3.76329966455511,0,5.25078369905956,0,2.27500515234676,0,0,0,0,0,0,12537.6343400331,0.684921055325914
1000,9323.96400688866,1000,宋,960,1279,114.349371141569,7510.43245400107,886.872283552432,771.413123256445,21.4933907851933,3.96378205128205,8.29978616929048,1,5.51285668354634,0,0.626959247648903,0,0,0,0,0,0,9209.61463574691,0.938404004436912
1100,7711.40866853652,1100,宋,960,1279,65.7136909009259,5730.71339312066,1072.16397950885,802.273225536363,18.9563846067899,4.39215015210778,7.96028296416228,2,5.71574535605526,0,0.626959247648903,0,0.892857142857143,0,0,0,0,7645.6949776355,1.13463642472867
1200,11049.0537223823,1200,金,1115,1234,109.156453401557,7798.07530641529,1629.64900477816,1362.86003972025,67.0829958977429,19.4618475400865,32.3727250441031,1.98496240601504,18.3342623054999,0,7.48026021165767,0,1.09962406015038,0,1.49624060150376,0,0,10939.8972689805,0.791890905876007
1300,7413.19236526019,1300,元,1234,1367,71.1068744320658,4769.11732156198,1225.9446275273,1213.44247709331,46.0185893935687,24.4141043144947,24.0728395112815,2.01503759398496,31.4182360138099,0,4.13097962297047,0,1.00751879699248,0,0.503759398496241,0,0,7342.08549082818,1.1802803340559
1400,2081.89268043918,1400,明,1368,1644,20.2029742453267,1445.15907080068,299.642710589078,305.164669050842,7.78316610925307,1.18226479980349,1.08695652173913,0,1.30854948189441,0,0.36231884057971,0,0,0,0,0,0,2061.68970619387,4.20273592558297
1500,6801.99012241913,1500,明,1368,1644,56.4784641203326,4995.37953613162,906.217532458224,811.806920603018,18.2370947212914,1.52155601706081,4.84453227931489,0,7.14216724738047,0,0.36231884057971,0,0,0,0,0,0,6745.51165829849,1.28633605809738
1600,8996.09566795731,1600,明,1368,1644,93.7277240415484,6862.13201871727,872.970048565299,1143.008030275,11.4434516457664,3.06429512516469,3.52068511198946,0,6.0699941833266,0,0.159420289855072,0,0,0,0,0,0,8902.36794391367,0.972604725898461
1700,7199.1969306928,1700,清,1644,1911,65.0500799345852,4808.56327352468,1058.09922637209,1163.83557559927,35.3830306454333,21.4823529411765,21.1781512605042,6,12.6052404149342,1,4,0,1,0,0,0,1,7134.14685075808,1.21536405317474
1800,6964.04954513616,1800,清,1644,1911,44.2277677616203,4856.54016181863,800.547341828897,1201.52830261009,28.4613201503837,8.50110170828895,10.5407219789324,3,10.7028272796227,0,0,0,0,0,0,0,0,6919.82177737484,1.25640191164362
1900,2922.04224389648,1900,清,1644,1911,15.1825551139782,1950.30900256864,473.611616008891,443.737660262875,21.764400495988,4.01654535053458,7.48112676056338,1,4.93933733487065,0,0,0,0,0,0,0,0,2906.85968878237,2.9943595714833
