"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","poly","weight","prediction","model","piotweight"
-1100,2122.19470260223,-1100,"-1100–-1000","商",-1600,-1046,613.047397769517,1484.00185873606,25.1454460966543,1509.14730483271,3.81759383784186,11010.4502413019,0,1
-1000,2136.94067534077,-1000,"-1000–-900","战国燕",-1030,-223,613.741325898389,1496.8395291202,26.3598203221809,1523.19934944238,3.79125050725284,13441.6409249083,2431.19068360631,1.13769685404047
-900,6355.94067534077,-900,"-900–-800","战国燕",-1030,-223,2578.74132589839,3713.8395291202,63.3598203221809,3777.19934944238,1.27466221495539,16373.8817994507,2932.24087454245,0.461338616000414
-800,3650.80734200737,-800,"-800–-700","战国燕",-1030,-223,808.141325898392,2805.10619578681,37.5598203221809,2842.66601610899,2.21914679696581,19893.4709076817,3519.58910823103,0.964057749017182
-700,4533.32400867357,-700,"-700–-600","战国燕",-1030,-223,558.841325898393,3936.32286245311,38.1598203221809,3974.48268277529,1.78713840084098,24093.7571856093,4200.28627792753,0.926535643578787
-600,790.190675340772,-600,"-600–-500","战国燕",-1030,-223,82.2413258983891,694.589529120202,13.3598203221809,707.949349442383,10.2528132413876,29072.0167489455,4978.25956333627,6.3000737906574
-500,8384.58455957293,-500,"-500–-400","战国燕",-1030,-223,935.867564150865,7275.71513237136,173.001863050711,7448.71699542207,0.96625865739585,34924.4526215832,5852.43587263767,0.697999505050703
-400,18932.6161247074,-400,"-400–-300","战国燕",-1030,-223,1750.63430151303,16807.7515405534,374.230282640677,17181.9818231941,0.42792170749092,41739.0108049416,6814.55818335843,0.359937482409803
-300,9401.42471059344,-300,"-300–-200","战国燕",-1030,-223,722.664294868058,8525.16246123498,153.597954488377,8678.76041572335,0.86174996543088,49585.9606223493,7846.94981740769,0.834655390960672
-200,6414.3250834486,-200,"-200–-100","汉代",-206,220,329.664658471057,5963.16388504428,121.496539933241,6084.66042497752,1.26305999679691,58506.6399567768,8920.67933442744,1.39074325332313
-100,13276.258930591,-100,"-100–0","汉代",-206,220,593.770631496106,12150.0726840171,532.41561507775,12682.4882990949,0.610237979065557,68501.4086470864,9994.76869030961,0.752830201833423
0,6862.72508547234,0,"0–100","汉代",-206,220,169.815479014546,6526.08936710269,166.820239355208,6692.9096064579,1.18053358082277,79518.5844308184,11017.175783732,1.605364581346
100,17007.8182388804,100,"100–200","东汉",25,220,1365.7583317767,15177.7439807717,464.315926327195,15642.0599070989,0.476350188223099,91446.7323535149,11928.1479226965,0.701333219532439
200,11501.368890018,200,"200–300","东汉",25,220,100.642702006791,11109.8121122703,290.914075741339,11400.7261880116,0.704409839978819,104112.824819471,12666.0924659563,1.10126825659415
300,3235.06540744704,300,"300–400","晋",265,420,26.1315839836689,3014.58717118564,194.34665227777,3208.93382346341,2.50433187554881,117288.194569859,13175.3697503881,4.07267492028406
400,17789.6998488341,400,"400–500","北魏",386,534,154.205356127516,17007.2754082646,628.219084442084,17635.4944927067,0.455413946733109,130702.786866142,13414.5922962828,0.754065128151221
500,16304.6061905703,500,"500–600","南朝齐",479,502,183.118096357227,15552.4953178297,568.992776383327,16121.488094213,0.496895007745755,144066.26549093,13363.4786247883,0.819613701097361
600,11206.589505296,600,"600–700","隋",581,618,95.7210049798934,10356.2752840311,754.593216284947,11110.8685003161,0.722938715255544,157092.672769995,13026.4072790642,1.16238818892298
700,9584.02032170844,700,"700–800","唐",618,907,67.413448397117,8500.54028014207,1016.06659316929,9516.60687331136,0.845331828126875,169524.311829218,12431.6390592237,1.29712152540674
800,9598.2972214942,800,"800–900","唐",618,907,75.4484610770111,8649.53393782054,873.314822597051,9522.84876041759,0.844074446997975,181150.748904432,11626.4370752136,1.21130204732331
900,7640.54643936726,900,"900–1000","唐",618,907,85.2304670618058,6505.42992482074,1049.88604748471,7555.31597230545,1.06035314144702,191820.225127038,10669.4762226067,1.3964284239715
1000,12249.3302321271,1000,"1000–1100","宋",960,1279,143.396340838539,11020.3750873599,1085.55880392861,12105.9338912885,0.661397583853697,201442.74100648,9622.51587944163,0.785554450495917
1100,6796.03101101314,1100,"1100–1200","宋",960,1279,65.6303575675926,5659.26443927473,1071.13621417074,6730.40065344547,1.19211895976136,209985.898632567,8543.15762608728,1.25708043595488
1200,6856.65558179051,1200,"1200–1300","金",1115,1234,71.6827691910307,5398.83461461872,1386.1381979806,6784.97281259932,1.18157858779882,217465.727603276,7479.82897070865,1.09088591099327
1300,8711.61216746276,1300,"1300–1400","元",1234,1367,103.348674584621,7142.31243623454,1465.95105664356,8608.2634928781,0.929986007597319,223935.032576386,6469.30497311032,0.742607091402979
1400,1714.23663665799,1400,"1400–1500","明",1368,1644,19.4783365641672,1401.27500979459,293.483290299223,1694.75830009381,4.72611379672157,229471.458935112,5536.42635872611,3.22967450370195
1500,5877.73323507444,1500,"1500–1600","明",1368,1644,55.2538264391732,4922.49446719838,899.984941436661,5822.47940863505,1.37836766238547,234166.796824901,4695.33788978856,0.798834806208943
1600,7074.2957333052,1600,"1600–1700","明",1368,1644,91.3933136384033,6139.22702319999,843.675396466847,6982.90241966684,1.14522741553097,238118.324613069,3951.52778816846,0.558575430988133
1700,6293.23852144059,1700,"1700–1800","清",1644,1911,64.0600317804922,5155.88225954272,1073.2962301174,6229.17848966012,1.28736220496857,241422.410709859,3304.08609678983,0.525021590320001
1800,5419.48376570921,1800,"1800–1900","清",1644,1911,41.1993267503843,4595.56043236798,782.724006591166,5378.28443895914,1.49491681673018,244170.211632782,2747.80092292262,0.507022631991043
1900,3430.0384781147,1900,"1900–2000","清",1644,1911,29.7166141027423,2839.42623860802,560.895625403947,3400.32186401196,2.36197858159538,246445.109668207,2274.89803542537,0.663228138675505
