"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","poly","weight","prediction","model","piotweight"
-1100,2469.07016728625,-1100,"-1100–-1000","商",-1600,-1046,859.983271375465,1584.31644981413,24.7704460966543,1609.08689591078,3.27170309825878,11010.4502413019,0,1
-1000,2487.02555762082,-1000,"-1000–-900","战国燕",-1030,-223,861.110904584882,1599.92983271375,25.9848203221809,1625.91465303594,3.24808263082609,13441.6409249083,2431.19068360631,0.977549537501367
-900,4626.02555762082,-900,"-900–-800","战国燕",-1030,-223,1147.11090458488,3415.92983271375,62.9848203221809,3478.91465303594,1.74622133308821,16373.8817994507,2932.24087454245,0.633857473984755
-800,3857.95889095409,-800,"-800–-700","战国燕",-1030,-223,1005.11090458488,2816.46316604704,36.3848203221809,2852.84798636922,2.09387003450703,19893.4709076817,3519.58910823103,0.912293056435501
-700,4515.09222428701,-700,"-700–-600","战国燕",-1030,-223,663.110904584883,3815.14649938007,36.8348203221809,3851.98131970225,1.78912503108491,24093.7571856093,4200.28627792753,0.930276962081502
-600,1146.02555762082,-600,"-600–-500","战国燕",-1030,-223,318.110904584882,813.679832713759,14.2348203221809,827.91465303594,7.04876471769007,29072.0167489455,4978.25956333627,4.3439341559461
-500,8796.72442590736,-500,"-500–-400","战国燕",-1030,-223,1106.38580369024,7513.40633061113,176.932291606012,7690.33862221714,0.918303691808045,34924.4526215832,5852.43587263767,0.665297170774337
-400,18314.0223789901,-400,"-400–-300","战国燕",-1030,-223,1870.49214353243,16079.7742072287,363.756028228717,16443.5302354574,0.441086308019146,41739.0108049416,6814.55818335843,0.372095110639164
-300,9071.89092046438,-300,"-300–-200","战国燕",-1030,-223,740.992709181679,8169.87497553775,161.023235744096,8330.89821128184,0.890449916886261,49585.9606223493,7846.94981740769,0.864974004450002
-200,7412.23501316147,-200,"-200–-100","汉代",-206,220,358.805584954813,6904.23072539258,149.198702814188,7053.42942820677,1.08982843930137,58506.6399567768,8920.67933442744,1.20350735218021
-100,12462.0975693599,-100,"-100–0","汉代",-206,220,601.470324839205,11379.5537825544,481.073461966404,11860.6272445208,0.64821066206302,68501.4086470864,9994.76869030961,0.802013355671631
0,7557.17943351556,0,"0–100","汉代",-206,220,212.629384037937,7151.51704993915,193.03299953866,7344.55004947781,1.06892585880694,79518.5844308184,11017.175783732,1.45784229164543
100,15173.2119998487,100,"100–200","东汉",25,220,1055.36577875742,13670.4504825576,447.395738533769,14117.8462210914,0.532389880020741,91446.7323535149,11928.1479226965,0.78613202813059
200,11799.5930994913,200,"200–300","东汉",25,220,164.233481089895,11337.5521608646,297.807457537488,11635.3596184021,0.684605345965447,104112.824819471,12666.0924659563,1.07343468195546
300,3457.0905527789,300,"300–400","晋",265,420,37.5407881186795,3222.70311238249,196.84665227777,3419.54976466026,2.33666558419634,117288.194569859,13175.3697503881,3.81111502555158
400,17986.9272347053,400,"400–500","北魏",386,534,225.754198097115,17136.1313715209,625.041665087246,17761.1730366082,0.449107532972188,130702.786866142,13414.5922962828,0.745796773469998
500,16512.7206572973,500,"500–600","南朝齐",479,502,242.332549941246,15701.5020706238,568.886036732284,16270.3881073561,0.489202517488168,144066.26549093,13363.4786247883,0.809283878903543
600,11312.6030398317,600,"600–700","隋",581,618,109.451724453692,10450.8838853936,752.267429984433,11203.1513153781,0.714076546987977,157092.672769995,13026.4072790642,1.1514951274431
700,9791.69966916939,700,"700–800","唐",618,907,92.7382282804467,8680.27604072198,1018.68540016694,9698.96144088892,0.824991042317578,169524.311829218,12431.6390592237,1.26960992261298
800,9755.92864038389,800,"800–900","唐",618,907,96.16089465304,8784.6876470867,875.08009864439,9659.76774573109,0.828015949469969,181150.748904432,11626.4370752136,1.19173043425993
900,7049.29076105167,900,"900–1000","唐",618,907,92.787265129241,5995.44361368161,961.059882240778,6956.50349592239,1.14594003708305,191820.225127038,10669.4762226067,1.51355314800704
1000,13217.3544603133,1000,"1000–1100","宋",960,1279,169.269224851078,11859.2129519097,1188.87228355243,13048.0852354621,0.611171058503735,201442.74100648,9622.51587944163,0.728021322900465
1100,6836.54912870548,1100,"1100–1200","宋",960,1279,64.274020800911,5700.11112839565,1072.16397950885,6772.2751079045,1.18159971705759,209985.898632567,8543.15762608728,1.24963010800523
1200,6850.29662255105,1200,"1200–1300","金",1115,1234,71.501488130893,5393.95006255105,1384.84507186896,6778.79513442001,1.17922842779332,217465.727603276,7479.82897070865,1.09189855313494
1300,9496.7645383157,1300,"1300–1400","元",1234,1367,135.29110591378,7848.79636954993,1512.67706285195,9361.47343240188,0.850612277848623,223935.032576386,6469.30497311032,0.681211474393119
1400,3591.01864576348,1400,"1400–1500","明",1368,1644,93.371776553038,3089.95916304403,407.687706166407,3497.64686921043,2.24951895631588,229471.458935112,5536.42635872611,1.54174258194335
1500,8285.4274849286,1500,"1500–1600","明",1368,1644,111.530572074731,7177.83292974096,996.063983112577,8173.89691285353,0.974972568503308,234166.796824901,4695.33788978856,0.566698326468911
1600,7005.82350485814,1600,"1600–1700","明",1368,1644,65.8838213609176,6098.55675411511,841.382929382143,6939.93968349725,1.15304996058309,238118.324613069,3951.52778816846,0.564034732737458
1700,5121.8146774017,1700,"1700–1800","清",1644,1911,18.7836069206116,4090.63283244021,1012.39823804066,5103.03107048087,1.5771879743659,241422.410709859,3304.08609678983,0.645100673276605
1800,3194.08811929955,1800,"1800–1900","清",1644,1911,7.13269918442416,2514.09392803906,672.861492075992,3186.95542011505,2.5290675192456,244170.211632782,2747.80092292262,0.860277118317324
1900,1266.44946650708,1900,"1900–2000","清",1644,1911,2.28303115265449,872.400810725163,391.765624629253,1264.16643535442,6.37851310278361,246445.109668207,2274.89803542537,1.79628014823176
