"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","poly","weight","prediction","model","piotweight"
-1100,2120.56970260223,-1100,"-1100–-1000","商",-1600,-1046,611.422397769517,1484.00185873606,25.1454460966543,1509.14730483271,3.82141678022523,11010.4502413019,0,1
-1000,2135.31567534077,-1000,"-1000–-900","战国燕",-1030,-223,612.116325898389,1496.8395291202,26.3598203221809,1523.19934944238,3.79502700174211,13441.6409249083,2431.19068360631,1.13856265454443
-900,6354.31567534077,-900,"-900–-800","战国燕",-1030,-223,2577.11632589839,3713.8395291202,63.3598203221809,3777.19934944238,1.27528770353809,16373.8817994507,2932.24087454245,0.461456594912591
-800,3648.9156753407,-800,"-800–-700","战国燕",-1030,-223,806.516325898392,2804.83952912014,37.5598203221809,2842.39934944232,2.22081883117366,19893.4709076817,3519.58910823103,0.964557534726368
-700,4532.46567534024,-700,"-700–-600","战国燕",-1030,-223,558.716325898393,3935.58952911978,38.1598203221809,3973.74934944196,1.78789674883817,24093.7571856093,4200.28627792753,0.926711105785094
-600,790.065675340772,-600,"-600–-500","战国燕",-1030,-223,82.1163258983891,694.589529120202,13.3598203221809,707.949349442383,10.2568443334361,29072.0167489455,4978.25956333627,6.30107055491183
-500,8384.45955957293,-500,"-500–-400","战国燕",-1030,-223,935.742564150865,7275.71513237136,173.001863050711,7448.71699542207,0.966500057348259,34924.4526215832,5852.43587263767,0.698009911200021
-400,18927.4224972564,-400,"-400–-300","战国燕",-1030,-223,1749.50930151303,16803.6829131024,374.230282640677,17177.9131957431,0.428139681794287,41739.0108049416,6814.55818335843,0.360036248165656
-300,9400.43700001625,-300,"-300–-200","战国燕",-1030,-223,722.636125853974,8524.20291967187,153.597954488377,8677.80087416024,0.862042971528599,49585.9606223493,7846.94981740769,0.834743088794077
-200,6413.38611631245,-200,"-200–-100","汉代",-206,220,329.195174902982,5962.6944014762,121.496539933241,6084.19094140945,1.26354167645543,58506.6399567768,8920.67933442744,1.390946868416
-100,13273.3199634549,-100,"-100–0","汉代",-206,220,593.301147928031,12147.603200449,532.41561507775,12680.0188155268,0.610516484758358,68501.4086470864,9994.76869030961,0.752996892851825
0,6860.78611833619,0,"0–100","汉代",-206,220,169.34599544647,6524.61988353461,166.820239355208,6691.44012288982,1.18114462473968,79518.5844308184,11017.175783732,1.60581828287686
100,17003.8792717442,100,"100–200","东汉",25,220,1364.28884820862,15175.2744972036,464.315926327195,15639.5904235308,0.476572464180415,91446.7323535149,11928.1479226965,0.701495684135904
