,count,century,centurylabel,dynasty,dynstart,dynend,X1,X2,X3,X4,poly,weight
-1100,2571.401486988848,-1100,-1100–-1000,商,-1600,-1046,859.9832713754647,1584.3164498141264,24.770446096654275,102.33131970260223,1711.418215613383,3.3952113884504573
-1000,2591.004956629492,-1000,-1000–-900,战国燕,-1030,-223,861.1109045848823,1599.9298327137546,25.984820322180916,103.97939900867411,1729.8940520446097,3.3695233158719935
-900,4948.004956629492,-900,-900–-800,战国燕,-1030,-223,1147.1109045848823,3415.929832713755,62.984820322180916,321.97939900867414,3800.89405204461,1.764438736304345
-800,3981.671623296099,-800,-800–-700,战国燕,-1030,-223,1005.1109045848827,2816.463166047038,36.38482032218093,123.71273234200744,2976.5607187112264,2.19265987727932
-700,4595.8382899623375,-700,-700–-600,战国燕,-1030,-223,663.110904584883,3815.146499380074,36.83482032218093,80.74606567534082,3932.727385377596,1.8996429077957226
-600,1205.504956629497,-600,-600–-500,战国燕,-1030,-223,318.1109045848823,813.6798327137587,14.234820322180912,59.47939900867413,887.3940520446138,7.242153227899349
-500,9372.979359022655,-500,-500–-400,战国燕,-1030,-223,1106.3858036902354,7513.406330611127,176.9322916060123,576.2549331152973,8266.593555332436,0.9314489319235334
-400,19406.785807754084,-400,-400–-300,战国燕,-1030,-223,1870.4921435324275,16079.774207228715,363.75602822871747,1092.7634287638723,17536.293664221303,0.4498659231563569
-300,9584.282741493089,-300,-300–-200,战国燕,-1030,-223,740.9927091816794,8169.874975537747,161.02323574409562,512.3918210274405,8843.290032309284,0.9109134035775432
-200,7733.3031018476495,-200,-200–-100,汉代,-206,220,358.80558495481336,6904.230725392585,149.19870281418784,321.06808868625876,7374.4975168930305,1.128942121875074
-100,13206.369896967088,-100,-100–0,汉代,-206,220,601.4703248392054,11379.553782554354,481.07346196640356,744.272327607261,12604.899572128019,0.6610788340032767
0,7875.554365723216,0,0–100,汉代,-206,220,212.62938403793663,7151.517049939151,193.03299953866022,318.37493220774536,7662.924981685556,1.1085507390947018
100,15812.634101690475,100,100–200,东汉,25,220,1055.3657787574218,13670.450482557637,447.3957385337692,639.4221018417961,14757.268322933201,0.552118739784767
200,12354.210437621288,200,200–300,东汉,25,220,164.23348108989512,11337.55216086458,297.80745753748806,554.6173381307622,12189.97695653283,0.7066782338689027
300,3636.011564821589,300,300–400,晋,265,420,37.54078811867952,3222.7031123824913,196.8466522777704,178.92101204272782,3598.4707767029895,2.401106667913296
400,18860.342862113812,400,400–500,北魏,386,534,225.75419809711528,17136.131371520944,625.0416650872455,873.415627408613,18634.588664016803,0.4628999417842234
500,17231.226624812047,500,500–600,南朝齐,479,502,242.33254994124596,15701.502070623768,568.8860367322837,718.5059675143912,16988.89407487044,0.5066645458850615
600,12200.708371737617,600,600–700,隋,581,618,109.45172445369242,10450.88388539362,752.2674299844332,888.1053319058915,12091.256647283944,0.7155692396620731
700,10425.23616816038,700,700–800,唐,618,907,92.73822828044672,8680.276040721983,1018.6854001669357,633.5364989908835,10332.497939879802,0.8374344208687157
800,10327.923533618692,800,800–900,唐,618,907,96.16089465304005,8784.687647086697,875.0800986443902,571.994893233709,10231.762638964796,0.8453249662901025
900,7646.348119821516,900,900–1000,唐,618,907,92.78726512924104,5995.44361368161,961.0598822407777,597.0573587698306,7553.5608546922185,1.141780556690998
1000,14181.767583569761,1000,1000–1100,宋,960,1279,169.26922485107806,11859.212951909714,1188.8722835524313,964.4131232564448,14012.49835871859,0.6156109639688082
1100,7638.822354241874,1100,1100–1200,宋,960,1279,64.27402080091105,5700.111128395645,1072.1639795088531,802.2732255363627,7574.548333440861,1.1429054385660526
1200,8041.156662271416,1200,1200–1300,金,1115,1234,71.501488130893,5393.95006255105,1384.8450718689628,1190.860039720253,7969.655174140265,1.0857208707132504
1300,10882.207015408956,1300,1300–1400,元,1234,1367,135.29110591378017,7848.796369549926,1512.6770628519503,1385.442477093306,10746.915909495181,0.8022684737150154
1400,3896.183314814335,1400,1400–1500,明,1368,1644,93.37177655303802,3089.9591630440273,407.68770616640694,305.16466905084167,3802.811538261276,2.240770237813877
1500,9097.234405531539,1500,1500–1600,明,1368,1644,111.53057207473057,7177.832929740956,996.0639831125767,811.8069206030184,8985.703833456551,0.9596819454926278
1600,8075.9835950582155,1600,1600–1700,明,1368,1644,65.88382136091762,6098.55675411511,841.3829293821427,1070.1600902001057,8010.099773697359,1.0810387998119804
1700,6331.621788581415,1700,1700–1800,清,1644,1911,18.783606920611636,4090.632832440212,1012.398238040656,1209.8071111797876,6312.838181660656,1.378864989795768
1800,4378.38795748987,1800,1800–1900,清,1644,1911,7.132699184424161,2514.0939280390635,672.8614920759916,1184.2998381906132,4371.255258305668,1.9939876725561214
1900,2553.2919956838728,1900,1900–2000,清,1644,1911,11.283031152654491,1545.4008107251561,471.76562462925284,524.8425291767497,2542.0089645311587,3.419292281361112
