filename,hydcd_name,corpus,nodata
shiji-gutenberg-24226-0.txt,史记,zhengshi2-corpus,
hanshu-gutenberg-23841.txt,汉书,zhengshi2-corpus,
三國志-wikisource.txt,三国志,zhengshi2-corpus,
後漢書-wikisource.txt,後汉书,zhengshi2-corpus,
宋書 wx100.txt,宋书,zhengshi2-corpus,
南齊書 wx100.txt,南齐书,zhengshi2-corpus,
魏書 wx100.txt,魏书,zhengshi2-corpus,
梁書 wx100.txt,梁书,zhengshi2-corpus,
陳書 wx100.txt,陈书,zhengshi2-corpus,
北齊書 wx100.txt,北齐书,zhengshi2-corpus,
周書 wx100.txt,周书,zhengshi2-corpus,
隋書 wx100.txt,隋书,zhengshi2-corpus,
晉書 wx100.txt,晋书,zhengshi2-corpus,
南史 wx100.txt,南史,zhengshi2-corpus,
北史 wx100.txt,北史,zhengshi2-corpus,
舊唐書 wx100.txt,旧唐书,zhengshi2-corpus,
舊五代史 wx100.txt,旧五代史,zhengshi2-corpus,
新五代史 wx100.txt,新五代史,zhengshi2-corpus,
新唐書 wx100.txt,新唐书,zhengshi2-corpus,
宋史 wx100.txt,宋史,zhengshi2-corpus,
金史 wx100.txt,金史,zhengshi2-corpus,
遼史 wx100.txt,辽史,zhengshi2-corpus,
元史 wx100.txt,元史,zhengshi2-corpus,
明史 wx100.txt,明史,zhengshi2-corpus,
清史稿 wx100.txt,清史稿,zhengshi2-corpus,
tung-guan-han-chi-CHANT.txt,东观汉记,loewe-corpus,
Chunglun.txt,中论,loewe-corpus,
Chiu chang suan shu.txt,九章算术,loewe-corpus,
Shang shu (CTP).txt,书,loewe-corpus,
I li.txt,仪礼,loewe-corpus,
Kungsun Lungtzu 7216-0.txt,,loewe-corpus,公孙龙子
Liezi-Clean-Gutenberg.txt,列子,loewe-corpus,
Shih chi 24226-0.txt,史记,loewe-corpus,
Lü shi ch'un ch'iu-ed-GX.txt,吕氏春秋,loewe-corpus,
Wu yüeh ch'un ch'iu 25131-0-ed.txt,吴越春秋,loewe-corpus,
Chou Li.txt,周礼,loewe-corpus,
chou pi suan ching.txt,周髀算经,loewe-corpus,
Shang Chün Shu 23833-0.txt,商君书,loewe-corpus,
Guoyu 23911-0.txt,国语,loewe-corpus,
Ta tai Li chi (GX202).txt,大戴礼记,loewe-corpus,
T'ai hsüan ching (WS).txt,太玄经,loewe-corpus,
Kongzi Jiayu-ed.txt,孔子家语,loewe-corpus,
Sun tzu pingfa 23864-0.txt,孙子,loewe-corpus,
Hsiaoching.txt,孝经,loewe-corpus,
Menzius 24178-0.txt,孟子,loewe-corpus,
Yan tzu ch'un ch'iu-CHANT.txt,,loewe-corpus,
Erya.txt,尔雅,loewe-corpus,
Shanhaijing.txt,山海经,loewe-corpus,
Zhuangzi.txt,庄子,loewe-corpus,
Shen Tzu 25366-0.txt,慎子,loewe-corpus,
changuotse-CTP.txt,战国策,loewe-corpus,
Hsinshu 23814-0.txt,新书,loewe-corpus,
Hsin hsü23945-0.txt,新序,loewe-corpus,
Hsinlun.txt,新论,loewe-corpus,
Hsin yü.txt,新语,loewe-corpus,
I ching.txt,易,loewe-corpus,
Ch'un ch'iu Kung yang (GX202).txt,,loewe-corpus,
Tso chuan-24136-0.txt,,loewe-corpus,春秋左传
Chunqiu Fanlu25385-0.txt,春秋繁露,loewe-corpus,
Ch'un ch'iu ku liang (GX202).txt,,loewe-corpus,
chuci-2015.txt,楚辞,loewe-corpus,
Han ji.txt,汉记,loewe-corpus,
Hanshi Waizhuan 23909-0.txt,,loewe-corpus,
Fayan.txt,法言,loewe-corpus,
Huainanzi 24059-0-ed.txt,淮南子,loewe-corpus,
ch'ien-fu-lun-CHANT.txt,潜夫论,loewe-corpus,
Tu tuan (WS).txt,独断,loewe-corpus,
Shen chien 7408-0.txt,申鉴,loewe-corpus,
Baihutong (WS).txt,白虎通,loewe-corpus,
Yantielun-CHANT.txt,盐铁论,loewe-corpus,
Li Chi 24048-0.txt,礼记,loewe-corpus,
Mu T'ien Tzu Chuan 24058-0.txt,穆天子传,loewe-corpus,
Chu-shu-chi-nien-CHANT.txt,竹书纪年,loewe-corpus,
Kuan tzu 7367-0.txt,管子,loewe-corpus,
Lao tzu Taoteking 7337-0.txt,老子,loewe-corpus,
Xunzi.txt,荀子,loewe-corpus,
Lun Heng 25397-0.txt,论衡,loewe-corpus,
Lunyu 23839-0.txt,论语,loewe-corpus,
Shih ching 23873-0.txt,诗,loewe-corpus,
Shuo wen chieh tzu (WS).txt,说文解字,loewe-corpus,
Shuoyuan 7332-0.txt,说苑,loewe-corpus,
Yüeh chüeh shu (WS).txt,越绝书,loewe-corpus,
I chou shu.txt,逸周书,loewe-corpus,
Shih ming (CTP).txt,释名,loewe-corpus,
Han Fei 24049-0.txt,韩非子,loewe-corpus,
Fengsu Tongyi-Chant.txt,风俗通义,loewe-corpus,
heguanzi-2015.txt,鹖冠子,loewe-corpus,
Huangdi Neijing.txt,,loewe-corpus,黄帝内经
Mo Tzu 24240-0.txt,墨子,loewe-corpus,
